name,species,zoo_id,capture_points,pack_bonus_mult,type
Sika deer,Cervus nippon,1,15,1.35,Mammal
Chinese water deer,Hydropotes inermis,2,18,2,Mammal
Beaver,Castor fiber,3,35,2,Mammal
Rabbit,Oryctolagus cuniculus,4,1,1.1,Mammal
Mountain hare,Lepus timidus,5,20,2,Mammal
Brown hare,Lepus europaeus,6,8,2,Mammal
Field vole,Microtus agrestis,7,6,2,Mammal
Bank vole,Myodes glareolus,8,6,2,Mammal
Water vole,Arvicola amphibius,9,35,2,Mammal
Brown rat,Rattus norvegicus,10,2,1.1,Mammal
Wood mouse,Apodemus sylvaticus,11,3,2,Mammal
House mouse,Mus musculus,12,3,1.1,Mammal
Harvest mouse,Micromys minutus,13,30,2,Mammal
Hazel dormouse,Muscardinus avellanarius,14,40,2,Mammal
Red squirrel,Sciurus vulgaris,15,30,2,Mammal
Grey squirrel,Sciurus carolinensis,16,2,2,Mammal
Fallow deer,Dama dama,17,10,1.1,Mammal
Red deer,Cervus elaphus,18,12,1.1,Mammal
Muntjac deer,Muntiacus reevesi,19,8,2,Mammal
Roe deer,Capreolus capreolus,20,10,1.35,Mammal
Polecat,Mustela putorius,21,25,2,Mammal
Pine marten,Martes martes,22,42,2,Mammal
Wildcat,Felis silvestris,23,49,2,Mammal
Weasel,Mustela nivalis,24,15,2,Mammal
Stoat,Mustela erminea,25,15,2,Mammal
American mink,Neovison vison,26,15,2,Mammal
European otter,Lutra lutra,27,38,2,Mammal
European badger,Meles meles,28,18,1.35,Mammal
Red fox,Vulpes vulpes,29,5,2,Mammal
Alcathoe bat,Myotis alcathoe,30,50,1.35,Mammal
Whiskered bat,Myotis mystacinus,31,35,1.35,Mammal
Serotine,Eptesicus serotinus,32,25,1.35,Mammal
Natterer's bat,Myotis nattereri,33,30,1.35,Mammal
Leisler's bat,Nyctalus leisleri,34,35,1.35,Mammal
Grey long-eared bat,Plecotus austriacus,35,45,1.35,Mammal
Daubenton's bat,Myotis daubentonii,36,20,1.35,Mammal
Brandt's bat,Myotis brandtii,37,35,1.35,Mammal
Lesser horseshoe bat,Rhinolophus hipposideros,38,38,1.35,Mammal
Greater horseshoe bat,Rhinolophus ferrumequinum,39,40,1.35,Mammal
Bechstein's bat,Myotis bechsteinii,40,48,1.35,Mammal
Barbastelle bat,Barbastella barbastellus,41,45,1.35,Mammal
Brown long-eared bat,Plecotus auritus,42,20,1.35,Mammal
Noctule,Nyctalus noctula,43,20,1.35,Mammal
Common pipistrelle,Pipistrellus pipistrellus,44,5,1.35,Mammal
Mole,Talpa europaea,45,15,2,Mammal
Water shrew,Neomys fodiens,46,25,2,Mammal
Pygmy shrew,Sorex minutus,47,8,2,Mammal
Common shrew,Sorex araneus,48,6,2,Mammal
European hedgehog,Erinaceus europaeus,49,15,2,Mammal
Sand lizard,Lacerta agilis,50,40,2,Reptile
Smooth snake,Coronella austriaca,51,45,2,Reptile
Adder,Vipera berus,52,28,2,Reptile
Grass snake,Natrix helvetica,53,15,2,Reptile
Slow worm,Anguis fragilis,54,15,2,Reptile
Common lizard,Zootoca vivipara,55,12,2,Reptile
Marsh frog,Pelophylax ridibundus,56,15,1.35,Amphibians
Common frog,Rana temporaria,57,3,1.35,Amphibians
Natterjack toad,Epidalea calamita,58,42,1.35,Amphibians
Common toad,Bufo bufo,59,8,1.35,Amphibians
Palmate newt,Lissotriton helveticus,60,12,2,Amphibians
Smooth newt,Lissotriton vulgaris,61,8,2,Amphibians
Great crested newt,Triturus cristatus,62,25,2,Amphibians
Red-necked grebe,Podiceps grisegena,63,35,1.35,Bird
Great northern diver,Gavia immer,64,35,2,Bird
Little grebe,Tachybaptus ruficollis,65,15,2,Bird
Great crested grebe,Podiceps cristatus,66,10,2,Bird
